edu,weight,coding,indg,total,totalindg,indgratio,edu2,indg2
3,4477.69082,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
2,3060.79303,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
2,1254.94263,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
3,4700.67614,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,4960.99807,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,2981.74878,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
1,4232.465,1,2,1929813.41343,287167.22735,14.8805695592921,High School or Less,Non-Indigenous Peoples
3,409.93203,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
2,508.40408,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
3,268.79665,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,10240.11029,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,5951.52181,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,1642.35968,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,943.01558,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,11818.51489,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,2330.48886,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,676.74625,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
2,951.712,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
3,1629.19743,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,2922.79853,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,1031.22448,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
